Diện tích (m2),Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Giá_per_m2,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_Không có sổ,Giấy tờ pháp lý_Sổ chung / công chứng vi bằng,Giấy tờ pháp lý_Đang chờ sổ,Giấy tờ pháp lý_Đã có sổ,Hướng_Không xác định,Hướng_Nam,Hướng_Tây,Hướng_Tây Bắc,Hướng_Tây Nam,Hướng_Đông,Hướng_Đông Bắc,Hướng_Đông Nam,Tình trạng nội thất_Hoàn thiện cơ bản,Tình trạng nội thất_Không xác định,Tình trạng nội thất_Nội thất cao cấp,Tình trạng nội thất_Nội thất đầy đủ,Phường/Xã_encoded,Thành phố_encoded,Giá bán_numeric_log,Diện tích (m2)_log,Giá_per_m2_log
66.0,4.0,13.0,2.0,3.0,2.0,69696969.6969697,5.0,0.3076923076923077,13.2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,6704131453.263589,6478016096.952897,22.24932214065885,4.204692619390966,18.05966741276286
30.0,4.5,7.0,2.0,3.0,2.0,48000000.0,5.0,0.6428571428571429,6.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4724825020.463847,6444340613.27308,21.087908951228766,3.4339872044851463,17.6867115897055
24.0,3.5,6.0,2.0,2.0,2.0,166250000.0,4.0,0.5833333333333334,6.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,6686159731.696226,6444340613.27308,22.10705706809881,3.2188758248682006,18.929003243515275
60.0,4.0,15.0,4.0,4.0,3.0,80000000.0,8.0,0.26666666666666666,7.5,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,5126409564.963124,4051583764.3770323,22.29188175506859,4.110873864173311,18.197537205138154
76.5,4.5,17.0,3.0,3.0,2.0,156862745.0980392,6.0,0.2647058823529412,12.75,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,7286270326.358881,6896101548.674963,23.208172486817745,4.350277936359301,18.870881752276922
65.0,4.0,21.0,4.0,3.0,2.0,118461538.46153846,7.0,0.19047619047619047,9.285714285714286,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,6420433130.543552,6464509836.25199,22.76448616593592,4.189654742026425,18.590098904351972
38.0,6.1,13.0,5.0,4.0,4.0,197368421.0526316,9.0,0.46923076923076923,4.222222222222222,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,8117132146.376858,6464509836.25199,22.73816885762201,3.6635616461296463,19.100582702828955
46.0,4.0,12.0,2.0,3.0,2.0,102173913.04347827,5.0,0.3333333333333333,9.2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,7280468995.318125,6478016096.952897,22.27082834587519,3.8501476017100584,18.442186958960562
64.0,4.0,16.0,5.0,4.0,4.0,140625000.0,9.0,0.25,7.111111111111111,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,5784635611.494962,6471881569.217854,22.920490414393743,4.174387269895637,18.761607338034068
25.0,4.0,13.0,2.0,3.0,2.0,180000000.0,5.0,0.3076923076923077,5.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,7580988111.479244,6444340613.27308,22.227343233944907,3.258096538021482,19.00846741441004
