Thành phố,Phường/Xã,Diện tích (m2),Loại hình,Giấy tờ pháp lý,Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Giá bán (VND),Thành phố chính,Tình trạng nội thất_encoded,Giấy tờ pháp lý_encoded,Loại hình_grouped,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Hướng_grouped,Hướng_Nam,Hướng_Tây,Hướng_Tây Bắc,Hướng_Tây Nam,Hướng_Unknown,Hướng_Đông,Hướng_Đông Bắc,Hướng_Đông Nam,Thành phố chính_grouped,Thành phố chính_Khác,Thành phố chính_TP.HCM,Thành phố chính_Đà Nẵng,Phường/Xã_target_encoded,Thành phố_target_encoded
Tp Hồ Chí Minh,Phường Tân Chánh Hiệp,52.0,"Nhà ngõ, hẻm",Đã có sổ,Tây Bắc,4.0,14.0,2.0,2.0,2.0,Nội thất đầy đủ,4790000000.0,TP.HCM,3,4.0,"Nhà ngõ, hẻm",False,True,False,Tây Bắc,False,False,True,False,False,False,False,False,TP.HCM,False,True,False,6207227272.727273,7783372663.267783
Tp Hồ Chí Minh,Xã Phong Phú,75.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,5.0,15.0,5.0,4.0,3.0,Nội thất cao cấp,8800000000.0,TP.HCM,4,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,5532000000.0,7783372663.267783
Đồng Nai,Phường Phước Tân,140.0,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Tây,5.0,28.0,2.0,1.0,3.0,Unknown,1200000000.0,Khác,0,3.0,"Nhà ngõ, hẻm",False,True,False,Tây,False,True,False,False,False,False,False,False,Khác,True,False,False,1840000000.0,3422517857.142857
Tp Hồ Chí Minh,Xã Tân Thạnh Đông,107.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,9.5,22.0,3.0,2.0,2.0,Unknown,3350000000.0,TP.HCM,0,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,3040000000.0,7783372663.267783
Tp Hồ Chí Minh,Phường Linh Tây (Quận Thủ Đức cũ),48.4,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây Bắc,4.0,12.0,2.0,2.0,3.0,Hoàn thiện cơ bản,9000000000.0,TP.HCM,2,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Tây Bắc,False,False,True,False,False,False,False,False,TP.HCM,False,True,False,10509916666.666666,7783372663.267783
Tp Hồ Chí Minh,Phường Trung Mỹ Tây,63.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,4.5,14.0,4.0,5.0,4.0,Nội thất cao cấp,7300000000.0,TP.HCM,4,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6217083333.333333,7783372663.267783
Hà Nội,Phường Phúc Tân,31.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.1,15.0,3.0,3.0,4.0,Nội thất đầy đủ,4050000000.0,Hà Nội,3,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,Hà Nội,False,False,False,4050000000.0,12621319905.21327
Đà Nẵng,Phường Thanh Khê Đông,50.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.1,15.0,3.0,3.0,4.0,Nội thất cao cấp,5500000000.0,Đà Nẵng,4,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,Đà Nẵng,False,False,True,9133900000.0,7551963709.67742
Hà Nội,Phường Việt Hưng,50.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,4.1,15.0,3.0,5.0,5.0,Unknown,10300000000.0,Hà Nội,0,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,Hà Nội,False,False,False,14835714285.714285,12621319905.21327
Long An,Xã Mỹ Hạnh Nam,160.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây,5.0,32.0,4.0,3.0,3.0,Nội thất cao cấp,2180000000.0,Khác,4,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Tây,False,True,False,False,False,False,False,False,Khác,True,False,False,2028846153.8461537,2784731707.3170733
