Diện tích (m2),Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Giá_per_m2,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Giá
61.0,Không xác định,4.0,15.5,4.0,3.0,3.0,Nội thất cao cấp,0.1180327868852459,7,0.2580645161290322,8.714285714285714,6.460090305209852,7.093097076534576,False,False,True,False,4,7.2
41.3,Đông Bắc,4.2,10.0,4.0,4.0,8.0,Hoàn thiện cơ bản,0.423728813559322,8,0.42,5.1625,6.460090305209852,6.7880993080993095,False,True,False,False,4,17.5
50.0,Không xác định,3.922322702763681,12.747548783981962,2.0,2.0,1.3888888888888888,Không xác định,0.027,4,0.3076923076923077,12.5,6.460090305209852,3.51800231000231,False,False,True,False,0,1.35
34.0,Không xác định,2.6,15.0,4.0,3.0,4.0,Không xác định,0.1047058823529411,7,0.1733333333333333,4.857142857142857,6.460090305209852,6.763887925845672,False,False,True,False,4,3.56
40.0,Không xác định,4.1,10.0,2.0,1.0,1.1111111111111112,Không xác định,0.1712499999999999,3,0.41,13.333333333333334,6.460090305209852,8.025048064353948,False,False,True,False,4,6.85
21.0,Không xác định,2.54195563720897,8.261355820929152,2.0,2.0,1.0,Không xác định,0.2376190476190476,4,0.3076923076923077,5.25,6.460090305209852,8.025048064353948,False,False,True,False,4,4.99
90.0,Không xác định,4.5,20.0,5.0,6.0,1.0,Nội thất đầy đủ,0.1555555555555555,11,0.225,8.181818181818182,6.460090305209852,8.387476495726496,False,False,True,False,4,14.0
58.0,Không xác định,4.224470836229533,13.72953021774598,4.0,4.0,1.0,Không xác định,0.1117241379310344,8,0.3076923076923077,7.25,6.460090305209852,6.641274281274282,False,False,True,False,4,6.48
22.0,Không xác định,3.0,7.5,2.0,2.0,1.0,Không xác định,0.1340909090909091,4,0.4,5.5,6.460090305209852,6.051920733388475,False,False,True,False,4,2.95
80.0,Không xác định,4.9613893835683385,16.1245154965971,5.0,5.0,1.0,Không xác định,0.11125,10,0.3076923076923077,8.0,6.460090305209852,7.606695636527216,False,False,True,False,4,8.9
70.0,Không xác định,4.0,17.5,4.0,4.0,1.0,Không xác định,0.0164285714285714,8,0.2285714285714285,8.75,4.071625333867521,4.823004273504273,False,False,True,False,4,1.15
40.0,Không xác định,4.0,10.0,2.0,2.0,2.0,Không xác định,0.11625,4,0.4,10.0,6.460090305209852,5.928127662460995,False,False,True,False,4,4.65
135.0,Không xác định,8.0,16.875,4.0,4.0,1.875,Không xác định,0.074074074074074,8,0.4740740740740741,16.875,6.460090305209852,7.2157952279202275,False,False,False,True,4,10.0
18.0,Đông,3.2,5.7,1.0,1.0,2.0,Hoàn thiện cơ bản,0.2666666666666666,2,0.5614035087719298,9.0,6.460090305209852,6.542857753357753,False,True,False,False,4,4.8
24.39,Không xác định,3.25,7.25,4.0,2.0,1.0,Không xác định,0.1701517015170151,6,0.4482758620689655,4.065,6.460090305209852,6.266364283864284,False,False,True,False,4,4.15
21.5,Đông Bắc,2.0,9.0,2.0,2.0,4.0,Nội thất đầy đủ,0.0976744186046511,4,0.2222222222222222,5.375,9.50365182305874,7.245006105006105,False,False,True,False,4,2.1
55.0,Không xác định,4.113766756037212,13.369741957120938,5.0,5.0,1.0,Không xác định,0.3454545454545454,10,0.3076923076923077,5.5,9.50365182305874,8.855339031339032,False,False,True,False,4,19.0
21.0,Không xác định,3.2,7.0,2.0,3.0,1.0,Không xác định,0.1704761904761904,5,0.4571428571428572,4.2,6.460090305209852,6.266364283864284,False,False,True,False,4,3.58
40.0,Tây,4.0,10.0,2.0,3.0,2.0,Nội thất đầy đủ,0.10625,5,0.4,8.0,6.460090305209852,5.4193894993895,False,False,True,False,4,4.25
66.0,Không xác định,4.506405697192864,14.64581851587681,3.0,3.0,1.2222222222222223,Không xác định,0.0909090909090909,6,0.3076923076923076,11.0,6.460090305209852,4.660986935286934,False,True,False,False,4,6.0
53.0,Không xác định,4.4,13.0,4.0,5.0,1.0,Không xác định,0.1186792452830188,9,0.3384615384615385,5.888888888888889,6.460090305209852,5.887433153951672,False,False,True,False,4,6.29
55.0,Đông,4.113766756037212,13.369741957120938,3.0,3.0,3.0,Không xác định,0.1381818181818181,6,0.3076923076923077,9.166666666666666,7.04928547008547,8.641057130004498,False,False,True,False,4,7.6
30.0,Đông,3.0,5.05,1.0,1.0,1.0,Hoàn thiện cơ bản,0.0216666666666666,2,0.594059405940594,15.0,6.460090305209852,3.51800231000231,False,False,True,False,3,0.65
47.4,Không xác định,3.818980935356366,12.41168803990819,3.0,3.0,1.0,Không xác định,0.1856540084388185,6,0.3076923076923076,7.899999999999999,6.460090305209852,6.939547397047397,False,False,True,False,4,8.8
60.0,Không xác định,4.0,15.0,4.0,5.0,1.0,Không xác định,0.105,9,0.2666666666666666,6.666666666666667,6.460090305209852,5.111358015000872,False,False,True,False,4,6.3
